category,title,publish_date,publish_date_display,publish_timestamp,publisher,document_code,url
gongwen,全民阅读促进条例,2025-12-16,2025.12.16,1765875600000,国务院,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051859.htm
bumenfile,民航局关于印发民航空管基本服务收费清算管理办法的通知,2025-12-16,2025.12.16,1765862220000,中国民航局,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051834.htm
bumenfile,国家发展改革委关于印发铁路专项中央预算内投资管理办法的通知,2025-12-16,2025.12.16,1765860720000,国家发展改革委,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051830.htm
bumenfile,自然资源部办公厅关于印发《国土空间规划实施监测网络建设技术指南（试行）》的通知,2025-12-16,2025.12.16,1765859820000,自然资源部办公厅,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051826.htm
otherfile,深耕滴灌，激发细分市场动能——供需更适配 消费活力足②,2025-12-16,2025.12.16,1765844580000,,,https://www.gov.cn/zhengce/202512/content_7051807.htm
otherfile,11月经济数据，这些要点值得关注,2025-12-15,2025.12.15,1765806480000,,,https://www.gov.cn/zhengce/202512/content_7051782.htm
bumenfile,商务部等6部门关于印发《促进服务外包高质量发展行动计划》的通知,2025-12-15,2025.12.15,1765805760000,商务部 中央网信办 国家发展改革委 工业和信息化部 财政部 海关总署,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051778.htm
otherfile,11月份主要指标出炉，当前经济运行态势如何？,2025-12-15,2025.12.15,1765800660000,,,https://www.gov.cn/zhengce/202512/content_7051761.htm
otherfile,《关于提升国家气象科普能力和全民气象科学素质的意见》解读,2025-12-15,2025.12.15,1765792260000,,,https://www.gov.cn/zhengce/202512/content_7051583.htm
gongwen,国务院办公厅 中央军委办公厅关于印发《兵役登记工作规定》的通知,2025-12-15,2025.12.15,1765789200000,国务院办公厅、中央军委办公厅,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051363.htm
otherfile,经济数据速览：8组数字看11月份中国经济,2025-12-15,2025.12.15,1765787940000,,,https://www.gov.cn/zhengce/202512/content_7051367.htm
otherfile,国家统计局解读11月份消费市场数据,2025-12-15,2025.12.15,1765785480000,,,https://www.gov.cn/zhengce/202512/content_7051349.htm
otherfile,国家统计局解读2025年1—11月份投资数据,2025-12-15,2025.12.15,1765785240000,,,https://www.gov.cn/zhengce/202512/content_7051343.htm
otherfile,国家统计局解读11月份工业生产数据,2025-12-15,2025.12.15,1765784880000,,,https://www.gov.cn/zhengce/202512/content_7051341.htm
bumenfile,国家医疗保障局办公室关于印发医保基金清算提质增效三年行动计划的通知,2025-12-15,2025.12.15,1765778700000,国家医保局办公室,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051326.htm
otherfile,学习规划建议每日问答 | 怎样理解推进全国行政事业单位存量国有资产盘活共享,2025-12-15,2025.12.15,1765778460000,,,https://www.gov.cn/zhengce/202512/content_7051317.htm
bumenfile,三部门关于加强商务和金融协同 更大力度提振消费的通知,2025-12-14,2025.12.14,1765707600000,商务部办公厅 中国人民银行办公厅 金融监管总局办公厅,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051167.htm
otherfile,商务部解读《关于加强商务和金融协同 更大力度提振消费的通知》,2025-12-14,2025.12.14,1765707180000,,,https://www.gov.cn/zhengce/202512/content_7051164.htm
otherfile,学习规划建议每日问答 | 如何理解加强对查封、扣押、冻结等强制措施的司法监督,2025-12-14,2025.12.14,1765690920000,,,https://www.gov.cn/zhengce/202512/content_7051153.htm
otherfile,聚焦中央经济工作会议 | 坚定信心用好优势 不断巩固拓展经济稳中向好势头——韩文秀解读中央经济工作会议精神,2025-12-14,2025.12.14,1765672200000,,,https://www.gov.cn/zhengce/202512/content_7051141.htm
otherfile,学习规划建议每日问答 | 为什么要推动大中小企业协同融通发展,2025-12-13,2025.12.13,1765607160000,,,https://www.gov.cn/zhengce/202512/content_7051103.htm
otherfile,《老年护理服务能力提升行动方案》解读,2025-12-13,2025.12.13,1765605840000,,,https://www.gov.cn/zhengce/202512/content_7051100.htm
bumenfile,关于印发老年护理服务能力提升行动方案的通知,2025-12-13,2025.12.13,1765605780000,国家卫生健康委办公厅 国家医保局办公室 国家中医药局综合司 国家疾控局综合司,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051098.htm
otherfile,国家金融监督管理总局有关司局负责人就《商业银行托管业务监督管理办法（试行）》答记者问,2025-12-13,2025.12.13,1765604940000,,,https://www.gov.cn/zhengce/202512/content_7051094.htm
otherfile,金融总量合理增长 贷款质效提升——解读11月金融数据,2025-12-13,2025.12.13,1765584600000,,,https://www.gov.cn/zhengce/202512/content_7051089.htm
bumenfile,两部门关于用好绿色金融政策支持绿色工厂建设的通知,2025-12-12,2025.12.12,1765538280000,工业和信息化部办公厅 中国人民银行办公厅,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051052.htm
otherfile,国家能源局有关负责同志就《能源行业数据安全管理办法（试行）》答记者问,2025-12-12,2025.12.12,1765537080000,,,https://www.gov.cn/zhengce/202512/content_7051046.htm
bumenfile,国家能源局关于印发《能源行业数据安全管理办法（试行）》的通知,2025-12-12,2025.12.12,1765535340000,国家能源局,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051044.htm
otherfile,学习规划建议每日问答 | 怎样理解健全一体衔接的流通规则和标准,2025-12-12,2025.12.12,1765521180000,,,https://www.gov.cn/zhengce/202512/content_7051025.htm
bumenfile,国家发展改革委 国家能源局关于优化集中式新能源发电企业市场报价的通知（试行）,2025-12-12,2025.12.12,1765503120000,国家发展改革委 国家能源局,,https://www.gov.cn/zhengce/zhengceku/202512/content_7051012.htm
otherfile,"聚焦中央经济工作会议 | 中央明确""支持经济大省挑大梁""",2025-12-12,2025.12.12,1765502460000,,,https://www.gov.cn/zhengce/202512/content_7051008.htm
otherfile,聚焦中央经济工作会议 | 我国将着力推动投资止跌回稳,2025-12-12,2025.12.12,1765502280000,,,https://www.gov.cn/zhengce/202512/content_7051006.htm
otherfile,为谱写中国式现代化新篇章贡献民政力量——访民政部党组书记、部长陆治原,2025-12-12,2025.12.12,1765501800000,,,https://www.gov.cn/zhengce/202512/content_7051002.htm
otherfile,提质扩容，发力新领域新赛道——供需更适配 消费活力足①,2025-12-12,2025.12.12,1765499640000,,,https://www.gov.cn/zhengce/202512/content_7050994.htm
otherfile,聚焦中央经济工作会议 | 我国将制定全国统一大市场建设条例,2025-12-12,2025.12.12,1765498680000,,,https://www.gov.cn/zhengce/202512/content_7050991.htm
otherfile,聚焦中央经济工作会议 | 我国将深化外商投资促进体制机制改革,2025-12-12,2025.12.12,1765498440000,,,https://www.gov.cn/zhengce/202512/content_7050988.htm
otherfile,聚焦中央经济工作会议 | 明年我国将实施更加积极有为的宏观政策,2025-12-12,2025.12.12,1765498320000,,,https://www.gov.cn/zhengce/202512/content_7050987.htm
otherfile,聚焦中央经济工作会议 | 我国将着力稳定房地产市场,2025-12-11,2025.12.11,1765459860000,,,https://www.gov.cn/zhengce/202512/content_7050976.htm
otherfile,聚焦中央经济工作会议 | 我国将清理消费领域不合理限制措施,2025-12-11,2025.12.11,1765459800000,,,https://www.gov.cn/zhengce/202512/content_7050975.htm
otherfile,学习规划建议每日问答 | 怎样理解形成优质优价、良性竞争的市场秩序,2025-12-11,2025.12.11,1765432380000,,,https://www.gov.cn/zhengce/202512/content_7050944.htm
bumenfile,工业和信息化部关于印发《产业技术基础公共服务平台管理办法》的通知,2025-12-11,2025.12.11,1765429080000,工业和信息化部,,https://www.gov.cn/zhengce/zhengceku/202512/content_7050941.htm
otherfile,教育部学位管理与研究生教育司负责人就《卓越工程师教育认证标准》答记者问,2025-12-11,2025.12.11,1765417980000,,,https://www.gov.cn/zhengce/202512/content_7050909.htm
bumenfile,教育部关于发布《卓越工程师教育认证标准》教育行业标准的通知,2025-12-11,2025.12.11,1765415340000,教育部,,https://www.gov.cn/zhengce/zhengceku/202512/content_7050899.htm
otherfile,如何做好今年供暖季能源保供（政策问答·回应关切）,2025-12-11,2025.12.11,1765413420000,,,https://www.gov.cn/zhengce/202512/content_7050893.htm
